step,loss,lr
1,2.6515,1.4285714285714287e-07
2500,2.375,9.74025974025974e-05
5000,2.1748,9.379509379509381e-05
7500,1.8618,9.018759018759019e-05
10000,1.4862,8.658152958152958e-05
12500,1.2783,8.297546897546898e-05
15000,1.0256,7.936940836940838e-05
17500,0.9566,7.576334776334777e-05
20000,0.824,7.215728715728716e-05
22500,0.7129,6.855122655122655e-05
25000,0.6909,6.494516594516596e-05
27500,0.6103,6.133910533910533e-05
30000,0.5362,5.773304473304474e-05
32500,0.4591,5.4126984126984125e-05
35000,0.4272,5.0520923520923523e-05
37500,0.4016,4.6914862914862915e-05
40000,0.3683,4.330880230880231e-05
42500,0.343,3.9702741702741705e-05
45000,0.3159,3.6096681096681104e-05
47500,0.2962,3.2490620490620496e-05
50000,0.2753,2.8884559884559887e-05
52500,0.2593,2.527849927849928e-05
55000,0.2459,2.167099567099567e-05
57500,0.2348,1.8066378066378066e-05
60000,0.2254,1.446031746031746e-05
62500,0.2186,1.0854256854256854e-05
65000,0.2131,7.2481962481962485e-06
67500,0.2101,3.6421356421356427e-06
70000,0.2079,3.6075036075036077e-08
70000,0.6869371819257736,None
step,loss,lr
1,0.2196,3.3333333333333335e-07
2500,0.2157,9.25925925925926e-05
5000,0.2185,8.417508417508418e-05
7500,0.1842,7.575757575757576e-05
10000,0.1585,6.734343434343434e-05
12500,0.1392,5.892592592592593e-05
15000,0.1259,5.051178451178451e-05
17500,0.1173,4.2097643097643105e-05
20000,0.1096,3.368350168350168e-05
22500,0.1044,2.526936026936027e-05
25000,0.1113,1.6855218855218857e-05
27500,0.1115,8.441077441077442e-06
30000,0.1071,2.6936026936026936e-08
30000,0.14192380098849536,None
step,loss,lr
1,0.1116,1.0000000000000001e-07
2500,0.1145,9.848484848484849e-05
5000,0.1039,9.595959595959596e-05
7500,0.0878,9.343434343434344e-05
10000,0.0757,9.090909090909092e-05
step,loss,lr
1,0.0694,1.0000000000000001e-07
2500,0.0655,9.848484848484849e-05
step,loss,lr
1,2.6515,1.0000000000000001e-07
2500,2.3725,9.848484848484849e-05
5000,2.2108,9.595959595959596e-05
7500,1.8547,9.343434343434344e-05
10000,1.4945,9.091010101010101e-05
12500,1.2904,8.83858585858586e-05
15000,1.0103,8.586161616161616e-05
17500,0.9231,8.333737373737374e-05
20000,0.8708,8.081313131313132e-05
22500,0.7609,7.828888888888889e-05
25000,0.7097,7.576565656565657e-05
27500,0.5494,7.324141414141414e-05
30000,0.6018,7.071717171717171e-05
32500,0.5374,6.81929292929293e-05
35000,0.4592,6.566868686868687e-05
37500,0.5024,6.314646464646465e-05
40000,0.4395,6.0621212121212123e-05
42500,0.3707,5.8095959595959604e-05
45000,0.3436,5.557272727272727e-05
47500,0.362,5.3048484848484845e-05
50000,0.3156,5.052424242424243e-05
52500,0.2744,4.8e-05
55000,0.2888,4.5474747474747475e-05
57500,0.2579,4.295151515151515e-05
60000,0.2408,4.042626262626263e-05
62500,0.2574,3.790303030303031e-05
65000,0.2528,3.537878787878788e-05
67500,0.2364,3.285353535353535e-05
70000,0.2086,3.032929292929293e-05
72500,0.1805,2.7806060606060607e-05
75000,0.1941,2.5281818181818185e-05
77500,0.1978,2.2757575757575757e-05
80000,0.1816,2.0233333333333335e-05
82500,0.1617,1.770909090909091e-05
85000,0.1392,1.5185858585858586e-05
87500,0.1446,1.2661616161616163e-05
90000,0.1574,1.0137373737373738e-05
92500,0.1603,7.613131313131313e-06
95000,0.1592,5.088888888888889e-06
97500,0.1572,2.5656565656565655e-06
100000,0.156,4.141414141414141e-08
100000,0.5496616508221627,None
