step,loss,lr
1,2.406,1.0000000000000001e-07
2500,2.4113,9.848484848484849e-05
5000,2.2872,9.595959595959596e-05
7500,1.796,9.343535353535354e-05
10000,1.3764,9.091111111111111e-05
12500,1.101,8.83868686868687e-05
15000,0.891,8.586262626262627e-05
17500,0.703,8.333838383838384e-05
20000,0.5871,8.081414141414143e-05
22500,0.5024,7.828989898989898e-05
25000,0.4333,7.576565656565657e-05
27500,0.3813,7.324141414141414e-05
30000,0.3408,7.071717171717171e-05
32500,0.3151,6.81929292929293e-05
35000,0.2879,6.566868686868687e-05
37500,0.2519,6.314444444444445e-05
40000,0.2254,6.062020202020202e-05
42500,0.2034,5.8095959595959604e-05
45000,0.1832,5.5571717171717175e-05
47500,0.1659,5.3047474747474747e-05
50000,0.1514,5.0523232323232325e-05
52500,0.1408,4.7998989898989896e-05
55000,0.1303,4.547575757575758e-05
57500,0.1219,4.295050505050505e-05
60000,0.1145,4.042626262626263e-05
62500,0.1067,3.79020202020202e-05
65000,0.094,3.537777777777778e-05
67500,0.0814,3.285353535353535e-05
70000,0.0807,3.032929292929293e-05
72500,0.0793,2.7804040404040404e-05
75000,0.0715,2.5279797979797982e-05
77500,0.0664,2.2756565656565655e-05
80000,0.0624,2.0232323232323234e-05
82500,0.0597,1.770808080808081e-05
85000,0.0573,1.5183838383838383e-05
87500,0.0554,1.265959595959596e-05
90000,0.0535,1.0136363636363636e-05
92500,0.0521,7.612121212121212e-06
95000,0.0511,5.087878787878788e-06
97500,0.0507,2.5636363636363638e-06
100000,0.05,4.040404040404041e-08
100000,0.404362032020092,None
