step,loss,lr
1,0.705,2.0000000000000002e-07
step,loss,lr
1,0.705,2.0000000000000002e-07
2500,0.449,9.595959595959596e-05
5000,0.4332,9.090909090909092e-05
7500,0.4326,8.585858585858586e-05
10000,0.4324,8.081010101010101e-05
12500,0.4321,7.576161616161616e-05
15000,0.432,7.071313131313132e-05
17500,0.4319,6.566666666666666e-05
20000,0.4318,6.0618181818181816e-05
22500,0.4317,5.556767676767677e-05
25000,0.4315,5.051919191919192e-05
27500,0.4315,4.5470707070707075e-05
30000,0.4314,4.042424242424243e-05
32500,0.4312,3.537575757575758e-05
35000,0.4312,3.0327272727272728e-05
37500,0.4311,2.527878787878788e-05
40000,0.4312,2.0232323232323234e-05
42500,0.4308,1.5183838383838383e-05
45000,0.431,1.0135353535353535e-05
47500,0.431,5.086868686868687e-06
50000,0.4308,3.838383838383838e-08
50000,0.4324703335249424,None
