step,loss,lr
1,2.5632,1.0000000000000001e-07
step,loss,lr
1,2.5632,1.0000000000000001e-07
2500,2.4724,9.848484848484849e-05
5000,2.4288,9.596060606060606e-05
7500,1.9605,9.343636363636365e-05
10000,1.4973,9.091111111111111e-05
12500,1.1846,8.83858585858586e-05
15000,0.9746,8.586262626262627e-05
17500,0.7998,8.333737373737374e-05
20000,0.6587,8.081414141414143e-05
22500,0.5494,7.828989898989898e-05
25000,0.4709,7.576565656565657e-05
27500,0.4123,7.324141414141414e-05
30000,0.3663,7.071717171717171e-05
32500,0.3281,6.81929292929293e-05
35000,0.2913,6.566868686868687e-05
37500,0.2517,6.314545454545456e-05
40000,0.2132,6.0621212121212123e-05
42500,0.1871,5.809696969696971e-05
45000,0.1684,5.557272727272727e-05
47500,0.1519,5.3047474747474747e-05
50000,0.1381,5.0523232323232325e-05
52500,0.127,4.7998989898989896e-05
55000,0.1171,4.5474747474747475e-05
57500,0.1091,4.295151515151515e-05
60000,0.1022,4.042727272727273e-05
62500,0.0956,3.790303030303031e-05
65000,0.0904,3.537878787878788e-05
67500,0.0848,3.285454545454546e-05
70000,0.081,3.0331313131313134e-05
72500,0.0773,2.780707070707071e-05
75000,0.0736,2.5282828282828287e-05
77500,0.0703,2.2758585858585858e-05
80000,0.0676,2.0234343434343436e-05
82500,0.065,1.771010101010101e-05
85000,0.0624,1.5185858585858586e-05
87500,0.0608,1.2661616161616163e-05
90000,0.0592,1.0137373737373738e-05
92500,0.0578,7.613131313131313e-06
95000,0.0568,5.088888888888889e-06
97500,0.056,2.564646464646465e-06
100000,0.0556,4.040404040404041e-08
100000,0.42687968819379807,None
