step,loss,lr
1,0.7206,2.0000000000000002e-07
2500,0.449,9.595959595959596e-05
5000,0.433,9.090909090909092e-05
7500,0.4324,8.585858585858586e-05
10000,0.4321,8.081010101010101e-05
12500,0.4319,7.576161616161616e-05
15000,0.4318,7.071111111111111e-05
17500,0.4315,6.566464646464648e-05
20000,0.4314,6.061414141414141e-05
22500,0.4313,5.556767676767677e-05
25000,0.431,5.051919191919192e-05
27500,0.4309,4.5470707070707075e-05
30000,0.4309,4.0422222222222225e-05
32500,0.4307,3.5373737373737375e-05
35000,0.4305,3.0325252525252528e-05
37500,0.4304,2.527878787878788e-05
40000,0.4301,2.022828282828283e-05
42500,0.4302,1.517979797979798e-05
45000,0.43,1.0133333333333333e-05
47500,0.4301,5.082828282828283e-06
50000,0.4301,3.2323232323232324e-08
50000,0.43196965890526773,None
