step,loss,lr
1,0.6949,2.0000000000000002e-07
5000,0.4387,9.090909090909092e-05
10000,0.4287,8.081010101010101e-05
15000,0.4221,7.071313131313132e-05
20000,0.4145,6.0618181818181816e-05
25000,0.4084,5.052121212121212e-05
step,loss,lr
1,0.4465,2.0000000000000002e-07
5000,0.4263,9.090909090909092e-05
10000,0.4135,8.081414141414143e-05
15000,0.4062,7.071717171717171e-05
20000,0.4007,6.062020202020202e-05
25000,0.3966,5.052525252525253e-05
30000,0.3929,4.0428282828282834e-05
35000,0.3901,3.0333333333333337e-05
40000,0.3871,2.0236363636363636e-05
45000,0.3851,1.013939393939394e-05
50000,0.3831,4.242424242424243e-08
50000,0.39816830701947215,None
step,loss,lr
1,0.3627,2.0000000000000002e-07
step,loss,lr
1,0.3627,2.0000000000000002e-07
step,loss,lr
1,0.3627,2.0000000000000002e-07
