step,loss,lr
1,4.4987,1.0000000000000001e-07
step,loss,lr
1,4.4987,1.0000000000000001e-07
step,loss,lr
1,4.4987,1.0000000000000001e-07
2500,4.3776,9.848484848484849e-05
step,loss,lr
1,4.4987,1.0000000000000001e-07
2500,4.3776,9.848484848484849e-05
5000,3.8581,9.595959595959596e-05
7500,3.0673,9.343636363636365e-05
10000,2.4858,9.091111111111111e-05
12500,2.1248,8.83868686868687e-05
15000,1.791,8.586262626262627e-05
17500,1.5043,8.333939393939393e-05
20000,1.3256,8.081515151515152e-05
22500,1.1596,7.829090909090909e-05
25000,1.0517,7.576767676767678e-05
27500,1.0797,7.324242424242425e-05
30000,0.9754,7.071818181818182e-05
32500,0.8354,6.81939393939394e-05
35000,0.8143,6.566868686868687e-05
37500,0.7468,6.314545454545456e-05
40000,0.7033,6.0621212121212123e-05
42500,0.6398,5.809696969696971e-05
45000,0.6626,5.557272727272727e-05
47500,0.6104,5.3047474747474747e-05
50000,0.5961,5.052424242424243e-05
52500,0.601,4.7998989898989896e-05
55000,0.5174,4.5474747474747475e-05
57500,0.5014,4.295050505050505e-05
60000,0.4948,4.042626262626263e-05
62500,0.4441,3.79020202020202e-05
65000,0.4206,3.537676767676768e-05
67500,0.3967,3.285353535353535e-05
70000,0.4214,3.032929292929293e-05
72500,0.3774,2.7805050505050506e-05
75000,0.364,2.5280808080808084e-05
77500,0.3882,2.2757575757575757e-05
80000,0.3613,2.0233333333333335e-05
82500,0.3234,1.770909090909091e-05
85000,0.3183,1.5185858585858586e-05
87500,0.3319,1.2660606060606061e-05
90000,0.3451,1.0136363636363636e-05
92500,0.346,7.613131313131313e-06
95000,0.3432,5.088888888888889e-06
97500,0.3374,2.564646464646465e-06
100000,0.3335,4.141414141414141e-08
100000,0.9594264484786987,None
