step,loss,lr
1,2.7245,1.0000000000000001e-07
2500,2.5531,9.848484848484849e-05
5000,2.5367,9.595959595959596e-05
7500,2.0701,9.343535353535354e-05
10000,1.7319,9.091111111111111e-05
12500,1.423,8.83868686868687e-05
15000,1.2187,8.586262626262627e-05
17500,0.9876,8.333838383838384e-05
20000,0.8389,8.081414141414143e-05
22500,0.6939,7.828989898989898e-05
25000,0.5703,7.576565656565657e-05
27500,0.4844,7.324141414141414e-05
30000,0.4166,7.071717171717171e-05
32500,0.3529,6.81939393939394e-05
35000,0.3135,6.566969696969697e-05
37500,0.2851,6.314545454545456e-05
40000,0.2591,6.0621212121212123e-05
42500,0.2364,5.8095959595959604e-05
45000,0.2138,5.5571717171717175e-05
47500,0.1953,5.3048484848484845e-05
50000,0.1819,5.052424242424243e-05
52500,0.1681,4.8e-05
55000,0.1703,4.547575757575758e-05
57500,0.1548,4.2952525252525256e-05
60000,0.1437,4.0428282828282834e-05
62500,0.1356,3.7904040404040406e-05
65000,0.1272,3.537979797979798e-05
67500,0.1206,3.285656565656566e-05
70000,0.115,3.0332323232323235e-05
72500,0.1102,2.780808080808081e-05
75000,0.1074,2.5283838383838388e-05
77500,0.1166,2.275959595959596e-05
80000,0.1066,2.0235353535353535e-05
82500,0.1001,1.7711111111111113e-05
85000,0.0955,1.5185858585858586e-05
87500,0.0917,1.2662626262626263e-05
90000,0.089,1.0138383838383839e-05
92500,0.0866,7.614141414141414e-06
95000,0.0846,5.089898989898991e-06
97500,0.0836,2.5656565656565655e-06
100000,0.0832,4.141414141414141e-08
100000,0.49633790471076966,None
