step,loss,lr
1,2.5214,2.0000000000000002e-07
2500,2.2518,9.595959595959596e-05
5000,2.2105,9.091111111111111e-05
7500,2.2058,8.586262626262627e-05
10000,2.2046,8.081414141414143e-05
12500,2.2048,7.576767676767678e-05
15000,2.2031,7.071919191919192e-05
17500,2.2031,6.567070707070707e-05
20000,2.2021,6.062222222222222e-05
22500,2.2024,5.557373737373738e-05
25000,2.2016,5.052525252525253e-05
27500,2.2016,4.547878787878788e-05
30000,2.2015,4.043030303030304e-05
32500,2.2012,3.538181818181818e-05
35000,2.2007,3.0333333333333337e-05
37500,2.2007,2.5284848484848483e-05
40000,2.2008,2.023838383838384e-05
42500,2.2,1.518989898989899e-05
45000,2.1998,1.0141414141414142e-05
47500,2.2007,5.092929292929293e-06
50000,2.1998,4.444444444444445e-08
50000,2.204832303729057,None
