step,loss,lr
1,4.1605,1.4285714285714287e-07
step,loss,lr
1,4.1605,1.4285714285714287e-07
step,loss,lr
1,4.1605,1.0000000000000001e-07
step,loss,lr
1,4.1605,1.0000000000000001e-07
2500,4.3212,9.848484848484849e-05
5000,3.8489,9.596060606060606e-05
step,loss,lr
1,4.1605,1.0000000000000001e-07
2500,4.3141,9.848484848484849e-05
5000,3.843,9.596060606060606e-05
7500,3.0878,9.343636363636365e-05
10000,2.4708,9.091212121212122e-05
12500,1.9679,8.83868686868687e-05
15000,1.8566,8.586363636363637e-05
17500,1.6045,8.333838383838384e-05
20000,1.47,8.081515151515152e-05
22500,1.2446,7.829090909090909e-05
25000,1.1263,7.576666666666667e-05
27500,1.0778,7.324242424242425e-05
30000,0.9387,7.071717171717171e-05
32500,0.8728,6.81929292929293e-05
35000,0.7979,6.566969696969697e-05
37500,0.7209,6.314444444444445e-05
40000,0.6975,6.062020202020202e-05
42500,0.6141,5.8095959595959604e-05
45000,0.6443,5.5571717171717175e-05
47500,0.6135,5.3047474747474747e-05
50000,0.5855,5.0523232323232325e-05
52500,0.5468,4.7998989898989896e-05
55000,0.5146,4.5474747474747475e-05
57500,0.4986,4.295050505050505e-05
60000,0.446,4.042626262626263e-05
62500,0.3977,3.7901010101010105e-05
65000,0.362,3.537676767676768e-05
67500,0.35,3.2852525252525254e-05
70000,0.3437,3.032828282828283e-05
72500,0.3168,2.7804040404040404e-05
75000,0.3623,2.5280808080808084e-05
77500,0.3362,2.2756565656565655e-05
80000,0.3234,2.0232323232323234e-05
82500,0.3329,1.770808080808081e-05
85000,0.3195,1.5184848484848485e-05
87500,0.3054,1.2660606060606061e-05
90000,0.2864,1.0136363636363636e-05
92500,0.271,7.612121212121212e-06
95000,0.2581,5.087878787878788e-06
97500,0.2522,2.564646464646465e-06
100000,0.2481,4.040404040404041e-08
100000,0.940510646982193,None
