step,loss,lr
1,2.1241,1.0000000000000001e-07
step,loss,lr
1,2.1241,1.0000000000000001e-07
step,loss,lr
1,2.1241,1.0000000000000001e-07
2500,1.8745,9.848484848484849e-05
5000,1.4562,9.595959595959596e-05
7500,1.0182,9.343434343434344e-05
10000,0.7702,9.091010101010101e-05
12500,0.602,8.83858585858586e-05
15000,0.4939,8.586161616161616e-05
17500,0.4208,8.333737373737374e-05
20000,0.353,8.081313131313132e-05
22500,0.2942,7.828989898989898e-05
25000,0.2573,7.576565656565657e-05
27500,0.2287,7.324141414141414e-05
30000,0.2038,7.071717171717171e-05
32500,0.1841,6.81939393939394e-05
35000,0.1672,6.566969696969697e-05
37500,0.1472,6.314545454545456e-05
40000,0.1243,6.0621212121212123e-05
42500,0.1067,5.809696969696971e-05
45000,0.0956,5.5571717171717175e-05
47500,0.0872,5.3047474747474747e-05
50000,0.0803,5.052424242424243e-05
52500,0.0746,4.8e-05
55000,0.0696,4.547575757575758e-05
57500,0.0651,4.295151515151515e-05
60000,0.0609,4.0428282828282834e-05
62500,0.0574,3.7904040404040406e-05
65000,0.0541,3.537979797979798e-05
67500,0.0513,3.2855555555555555e-05
70000,0.0488,3.0331313131313134e-05
72500,0.0471,2.780808080808081e-05
75000,0.0454,2.5283838383838388e-05
77500,0.0435,2.275959595959596e-05
80000,0.0422,2.0235353535353535e-05
82500,0.041,1.7711111111111113e-05
85000,0.04,1.518787878787879e-05
87500,0.0392,1.2663636363636364e-05
90000,0.0384,1.013939393939394e-05
92500,0.0377,7.6151515151515155e-06
95000,0.0373,5.090909090909091e-06
97500,0.0369,2.5676767676767676e-06
100000,0.0366,4.343434343434344e-08
100000,0.2483063897061348,None
