step,loss,lr
1,2.358,1.0000000000000001e-07
2500,1.9877,9.848484848484849e-05
5000,1.4476,9.595959595959596e-05
7500,0.9781,9.343434343434344e-05
10000,0.7358,9.090909090909092e-05
12500,0.5964,8.83858585858586e-05
15000,0.4977,8.586161616161616e-05
17500,0.4191,8.333737373737374e-05
20000,0.3658,8.081313131313132e-05
22500,0.3145,7.828989898989898e-05
25000,0.2732,7.576565656565657e-05
27500,0.2401,7.324141414141414e-05
30000,0.2122,7.071717171717171e-05
32500,0.1907,6.81929292929293e-05
35000,0.1707,6.566969696969697e-05
37500,0.1533,6.314545454545456e-05
40000,0.1397,6.0621212121212123e-05
42500,0.1268,5.809696969696971e-05
45000,0.1167,5.557272727272727e-05
47500,0.1069,5.3048484848484845e-05
50000,0.0993,5.052424242424243e-05
52500,0.0911,4.8e-05
55000,0.0835,4.547575757575758e-05
57500,0.0763,4.295151515151515e-05
60000,0.071,4.042727272727273e-05
62500,0.0667,3.790303030303031e-05
65000,0.0626,3.537878787878788e-05
67500,0.0591,3.285353535353535e-05
70000,0.0578,3.0330303030303032e-05
72500,0.0542,2.7805050505050506e-05
75000,0.0487,2.5280808080808084e-05
77500,0.0456,2.2756565656565655e-05
80000,0.0434,2.0233333333333335e-05
82500,0.0412,1.771010101010101e-05
85000,0.0398,1.5185858585858586e-05
87500,0.0383,1.2660606060606061e-05
90000,0.0372,1.0136363636363636e-05
92500,0.0363,7.614141414141414e-06
95000,0.0357,5.088888888888889e-06
97500,0.0352,2.564646464646465e-06
100000,0.0349,4.040404040404041e-08
100000,0.25577009806871415,None
