step,loss,lr
1,2.4892,2.0000000000000002e-07
2500,2.2323,9.596161616161617e-05
5000,2.208,9.091313131313132e-05
7500,2.2043,8.586464646464647e-05
10000,2.2038,8.081414141414143e-05
12500,2.201,7.576565656565657e-05
15000,2.2001,7.071717171717171e-05
17500,2.1985,6.567070707070707e-05
20000,2.1968,6.062222222222222e-05
22500,2.197,5.557373737373738e-05
25000,2.1958,5.052525252525253e-05
27500,2.1934,4.547878787878788e-05
30000,2.1928,4.043232323232323e-05
32500,2.1915,3.538181818181818e-05
35000,2.1896,3.0333333333333337e-05
37500,2.1888,2.5286868686868686e-05
40000,2.1883,2.023838383838384e-05
42500,2.188,1.5191919191919193e-05
45000,2.1864,1.0141414141414142e-05
47500,2.1862,5.0949494949494954e-06
50000,2.1857,4.444444444444445e-08
50000,2.1964160037851332,None
