step,loss,lr
1,2.2425,1.0000000000000001e-07
step,loss,lr
1,2.2425,1.0000000000000001e-07
2500,2.0591,9.848484848484849e-05
5000,1.716,9.595959595959596e-05
7500,1.1943,9.343535353535354e-05
10000,0.9276,9.091111111111111e-05
12500,0.7688,8.83878787878788e-05
15000,0.6469,8.586363636363637e-05
17500,0.584,8.333838383838384e-05
20000,0.4838,8.081515151515152e-05
22500,0.3943,7.829090909090909e-05
25000,0.3245,7.576666666666667e-05
27500,0.2866,7.324242424242425e-05
30000,0.2506,7.071919191919192e-05
32500,0.224,6.81939393939394e-05
35000,0.2025,6.566969696969697e-05
37500,0.1831,6.314545454545456e-05
40000,0.168,6.0621212121212123e-05
42500,0.1563,5.809797979797979e-05
45000,0.1439,5.557272727272727e-05
47500,0.135,5.3048484848484845e-05
50000,0.1268,5.052424242424243e-05
52500,0.1192,4.8e-05
55000,0.1129,4.547575757575758e-05
57500,0.1064,4.295151515151515e-05
60000,0.1023,4.042727272727273e-05
62500,0.0977,3.790303030303031e-05
65000,0.0937,3.537878787878788e-05
67500,0.0902,3.285454545454546e-05
70000,0.0864,3.032929292929293e-05
72500,0.0834,2.7805050505050506e-05
75000,0.08,2.5280808080808084e-05
77500,0.0772,2.2757575757575757e-05
80000,0.0751,2.0233333333333335e-05
82500,0.0735,1.770909090909091e-05
85000,0.0716,1.5184848484848485e-05
87500,0.0698,1.2660606060606061e-05
90000,0.0683,1.0136363636363636e-05
92500,0.0677,7.611111111111112e-06
95000,0.0667,5.086868686868687e-06
97500,0.066,2.5626262626262627e-06
100000,0.0657,3.838383838383838e-08
100000,0.31625027500391006,None
